group,angle_id_6,angle_id_7,max_rpm_id_0,max_rpm_id_1,influence,baseline,bias,baseline_corrected,influence_corrected,absolute_influence,relative_influence
114,-1.395862798959424,1.0477790358919736,5800.0,5800.0,-9.160785032080563,-9.345283434137173,-1.5826248182027012,-7.7626586159344715,-7.578160213877862,0.18449840205660983,-2.3767424433413638
115,-2.313183310115037,1.135215940801455,5800.0,5800.0,-9.29520531737935,-9.454378864282372,-1.5767391485238225,-7.87763971575855,-7.718466168855528,0.15917354690302155,-2.0205740887668218
116,-2.202736693387271,1.135215940801455,5800.0,5800.0,-9.321241931745709,-9.535120277701264,-1.577392194728088,-7.957728082973176,-7.743849737017621,0.2138783459555551,-2.6876810029885516
117,-2.0938240574473905,1.135215940801455,5800.0,5800.0,-9.044163470588362,-9.452239168092802,-1.573553562725145,-7.878685605367657,-7.470609907863217,0.40807569750444017,-5.179489548693541
118,-1.98491142150751,1.135215940801455,5800.0,5800.0,-9.042948233946804,-9.476141860830303,-1.5407552802630762,-7.9353865805672275,-7.502192953683728,0.43319362688349905,-5.459011007029402
119,-1.8759987855676297,1.135215940801455,5800.0,5800.0,-9.033082929240768,-9.434403688784881,-1.566636250160404,-7.867767438624477,-7.466446679080364,0.40132075954411306,-5.100821327965892
120,-1.767086149627749,1.135215940801455,5800.0,5800.0,-8.935977220722274,-9.37181373010836,-1.5426626462398316,-7.829151083868529,-7.393314574482442,0.4358365093860872,-5.5668424931037634
121,-1.6581735136878688,1.135215940801455,5800.0,5800.0,-8.888473137346878,-9.422981744479639,-1.5118184863958128,-7.9111632580838265,-7.376654650951066,0.5345086071327607,-6.756384487282402
122,-1.549260877747988,1.135215940801455,5800.0,5800.0,-9.156592137589097,-9.42423390867574,-1.5187779137447237,-7.905455994931017,-7.637814223844374,0.2676417710866428,-3.385532362184482
123,-1.4403482418081075,1.135215940801455,5800.0,5800.0,-9.184264956469118,-9.451080372898849,-1.6994352983610612,-7.751645074537787,-7.4848296581080564,0.26681541642973094,-3.4420489310862896
124,-2.313183310115037,1.221118864923051,5800.0,5800.0,-9.389476527747311,-9.588183982138345,-1.7287268651073913,-7.859457117030954,-7.66074966263992,0.19870745439103388,-2.5282592860065005
125,-2.2150085396903565,1.221118864923051,5800.0,5800.0,-9.387981190248642,-9.712861711870822,-1.7691203823646942,-7.943741329506128,-7.618860807883948,0.3248805216221804,-4.089767127933137
126,-2.116833769265676,1.221118864923051,5800.0,5800.0,-9.180461313250678,-9.62194560850258,-1.7685924845952368,-7.853353123907343,-7.411868828655441,0.441484295251902,-5.6216024962372595
127,-2.018658998840994,1.221118864923051,5800.0,5800.0,-8.995131406746804,-9.598044635113622,-1.7382924385465084,-7.859752196567113,-7.256838968200295,0.6029132283668179,-7.670893601838376
128,-1.9204842284163133,1.221118864923051,5800.0,5800.0,-9.228833611384529,-9.689336455794814,-1.7333260720989943,-7.95601038369582,-7.495507539285534,0.46050284441028566,-5.788112662019521
129,-1.822309457991632,1.221118864923051,5800.0,5800.0,-9.104769624353196,-9.602280957855447,-1.6827639182117236,-7.919517039643724,-7.422005706141473,0.49751133350225096,-6.282091837315279
130,-1.7241346875669512,1.221118864923051,5800.0,5800.0,-9.121045146143233,-9.576537438158718,-1.738490323928591,-7.838047114230127,-7.382554822214642,0.45549229201548513,-5.811298214685773
131,-1.62595991714227,1.221118864923051,5800.0,5800.0,-9.233270086789057,-9.669572880327951,-1.694894585330829,-7.974678294997123,-7.538375501458228,0.43630279353889456,-5.471102123487628
132,-1.527785146717589,1.221118864923051,5800.0,5800.0,-9.36911469637274,-9.633571854721643,-1.9185723098880663,-7.714999544833576,-7.450542386484674,0.26445715834890215,-3.427831159445738
133,-2.268697867266354,1.3085557698325323,5800.0,5800.0,-9.580711830398643,-9.979626690753095,-1.9259248017516204,-8.053701889001475,-7.654787028647023,0.3989148603544521,-4.953186321674378
134,-2.1812609623568724,1.3085557698325323,5800.0,5800.0,-9.356046443285978,-9.917866992101175,-1.9883225742651491,-7.929544417836025,-7.367723869020828,0.5618205488151968,-7.0851554542211375
135,-2.0938240574473905,1.3085557698325323,5800.0,5800.0,-9.416955362338465,-9.798378805721159,-1.9575796630106816,-7.840799142710477,-7.459375699327783,0.38142344338269396,-4.864599085378944
136,-2.006387152537909,1.3085557698325323,5800.0,5800.0,-9.18194003868848,-9.868067037992024,-1.9604000506480783,-7.907666987343945,-7.221539988040402,0.6861269993035428,-8.67673108138816
137,-1.9204842284163133,1.3085557698325323,5800.0,5800.0,-9.298944251911221,-9.75011893260934,-1.947296715252627,-7.802822217356713,-7.351647536658595,0.4511746806981183,-5.782198647234569
138,-1.833047323506832,1.3085557698325323,5800.0,5800.0,-9.394859777874581,-9.854938606202133,-1.9636717257185727,-7.89126688048356,-7.431188052156008,0.46007882832755165,-5.830227709892876
139,-1.7456104185973502,1.3085557698325323,5800.0,5800.0,-9.102575419738853,-9.830099274765942,-1.9562049291805252,-7.873894345585417,-7.146370490558328,0.7275238550270888,-9.239695417490367
140,-1.6581735136878688,1.3085557698325323,5800.0,5800.0,-9.562927247565469,-9.896362363202766,-1.9429688357658466,-7.953393527436919,-7.619958411799622,0.3334351156372968,-4.192362850989852
141,-1.570736608778387,1.3085557698325323,5800.0,5800.0,-9.731835986020272,-9.906598465323944,-2.181260749493989,-7.725337715829955,-7.550575236526283,0.17476247930367173,-2.2621985695921967
142,-2.225746405205556,1.395992674742014,5800.0,5800.0,-9.749098306120878,-10.07358087858564,-2.178357151541428,-7.895223727044211,-7.57074115457945,0.32448257246476153,-4.109859120942736
143,-2.1536493081749306,1.395992674742014,5800.0,5800.0,-9.638435613249245,-9.933770999398353,-2.168317767304164,-7.76545323209419,-7.470117845945081,0.2953353861491088,-3.8031957352921
144,-2.0830861919321912,1.395992674742014,5800.0,5800.0,-9.651538806255678,-9.991840594503504,-2.160653073338711,-7.831187521164793,-7.490885732916967,0.3403017882478263,-4.345468517106976
